Rank,Page Name,Page ID,Active Ads Found,Count Capped,Oldest Active Ad,Days Running,Page Likes,Verified,Facebook URL,Library URL,Sample Ad ID,From Cache
1,Bumpy Portuguese,825827147290215,100,True,20/03/2026,157,205,False,https://www.facebook.com/61584763495464/,https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=BR&is_targeted_country=false&media_type=all&search_type=page&view_all_page_id=825827147290215,1419413036071300,False
2,Boo em Português,107681232099747,100,True,07/01/2026,229,1624,False,https://www.facebook.com/BooPTBR/,https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=BR&is_targeted_country=false&media_type=all&search_type=page&view_all_page_id=107681232099747,879052354529737,False
3,Inner Circle,346764542122299,100,True,09/06/2026,76,160962,False,https://www.facebook.com/innercircledating/,https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=BR&is_targeted_country=false&media_type=all&search_type=page&view_all_page_id=346764542122299,1479802177286813,True
4,BonusMobo,999678383222434,100,True,14/08/2026,10,23811,False,https://www.facebook.com/61586861072862/,https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=BR&is_targeted_country=false&media_type=all&search_type=page&view_all_page_id=999678383222434,1787390072618551,False
5,Short Drama Streaming-27,248599635009430,75,False,11/08/2026,13,3400,False,https://www.facebook.com/61557433990719/,https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=BR&is_targeted_country=false&media_type=all&search_type=page&view_all_page_id=248599635009430,1377513284467397,False
6,Litmatch BR,100360165797252,73,False,27/05/2026,89,1320,False,https://www.facebook.com/100079305708287/,https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=BR&is_targeted_country=false&media_type=all&search_type=page&view_all_page_id=100360165797252,2797229357316492,False
7,Lunar Spell,1141907778996322,72,False,15/07/2026,40,208,False,https://www.facebook.com/61561246285800/,https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=BR&is_targeted_country=false&media_type=all&search_type=page&view_all_page_id=1141907778996322,5429796733911168,False
8,Selene Arden,1026244410582377,70,False,27/06/2026,58,4310,False,https://www.facebook.com/61590231358259/,https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=BR&is_targeted_country=false&media_type=all&search_type=page&view_all_page_id=1026244410582377,992885333517678,False
9,BuzzFun-8,108320452356848,66,False,26/06/2026,59,638,False,https://www.facebook.com/100095538516069/,https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=BR&is_targeted_country=false&media_type=all&search_type=page&view_all_page_id=108320452356848,2198196301017496,False
10,DA ÁGUA PRO VINHO,153461285176185,52,False,11/12/2025,256,1588,False,https://www.facebook.com/daaguaprovinh0/,https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=BR&is_targeted_country=false&media_type=all&search_type=page&view_all_page_id=153461285176185,4021085618183994,False
11,Cigana Maria B,1088851464316837,34,False,30/05/2026,86,5931,False,https://www.facebook.com/61589803584919/,https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=BR&is_targeted_country=false&media_type=all&search_type=page&view_all_page_id=1088851464316837,1695734618150336,False
12,BuzzFun-Image Lab,102422819583556,34,False,12/06/2026,73,1892,False,https://www.facebook.com/100094566360393/,https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=BR&is_targeted_country=false&media_type=all&search_type=page&view_all_page_id=102422819583556,2348011252274529,False
13,Nova Match: Soulmate Sketch,1041862739011868,31,False,14/07/2026,41,33,False,https://www.facebook.com/61579690690023/,https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=BR&is_targeted_country=false&media_type=all&search_type=page&view_all_page_id=1041862739011868,1559102128939716,False
