Rank,Page Name,Page ID,Active Ads Found,Count Capped,Oldest Active Ad,Days Running,Page Likes,Verified,Facebook URL,Library URL,Sample Ad ID,From Cache
1,Academia de Pregadores,103654612504726,100,True,24/11/2022,1369,87000,False,https://www.facebook.com/academiadeppregadores/,https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=BR&is_targeted_country=false&media_type=all&search_type=page&view_all_page_id=103654612504726,114443901645892,False
2,Cãopanhia Baltazar,106004278808269,100,True,19/05/2026,97,2146,False,https://www.facebook.com/projetocaopanhiabaltazar/,https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=BR&is_targeted_country=false&media_type=all&search_type=page&view_all_page_id=106004278808269,2350392445780572,False
3,Brasil Paralelo,301774903545521,100,True,23/12/2025,244,1469997,False,https://www.facebook.com/brasilparalelo/,https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=BR&is_targeted_country=false&media_type=all&search_type=page&view_all_page_id=301774903545521,1010414311823946,True
4,Bible Offline,111086928088825,100,True,03/01/2026,233,672753,False,https://www.facebook.com/100078190920246/,https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=BR&is_targeted_country=false&media_type=all&search_type=page&view_all_page_id=111086928088825,692568590458393,False
5,Hallow Brasil,104096412629936,100,True,29/12/2025,238,14893,False,https://www.facebook.com/hallowappbrasil/,https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=BR&is_targeted_country=false&media_type=all&search_type=page&view_all_page_id=104096412629936,1336566408366101,False
6,Vinde A Cristo,521582331189033,100,True,02/04/2026,144,7180032,False,https://www.facebook.com/VindeACristo/,https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=BR&is_targeted_country=false&media_type=all&search_type=page&view_all_page_id=521582331189033,1911451490258867,False
7,Nutricionista Isa Latuf,102243326168192,100,True,30/07/2026,25,35580,False,https://www.facebook.com/100091335131699/,https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=BR&is_targeted_country=false&media_type=all&search_type=page&view_all_page_id=102243326168192,1844712073605011,False
8,Augustus Nicodemus Lopes,286231964762555,98,False,14/04/2025,497,583798,False,https://www.facebook.com/AugustusNicodemusLopes/,https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=BR&is_targeted_country=false&media_type=all&search_type=page&view_all_page_id=286231964762555,644730335043933,False
9,Santo Santo Santo,225982534504727,97,False,09/05/2025,472,18686,False,https://www.facebook.com/santosantosanto.oficial/,https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=BR&is_targeted_country=false&media_type=all&search_type=page&view_all_page_id=225982534504727,3919813278162096,False
10,Clube Católico,1083465754848835,77,False,22/04/2026,124,1103,False,https://www.facebook.com/61570698576267/,https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=BR&is_targeted_country=false&media_type=all&search_type=page&view_all_page_id=1083465754848835,1310222571050913,False
11,Daily Bible Verses,101447135685943,75,False,17/06/2025,433,252683,False,https://www.facebook.com/100077493314252/,https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=BR&is_targeted_country=false&media_type=all&search_type=page&view_all_page_id=101447135685943,1590053475520287,False
12,Rodrigo Silva Arqueologia,1760350307545570,72,False,15/07/2024,770,770525,False,https://www.facebook.com/rodrigosilvarqueologia/,https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=BR&is_targeted_country=false&media_type=all&search_type=page&view_all_page_id=1760350307545570,3732259920371986,True
13,A Igreja de Jesus Cristo - Missão Brasil João Pessoa,100614548311975,68,False,01/04/2026,145,31778,False,https://www.facebook.com/aigrejadejesuscristojp/,https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=BR&is_targeted_country=false&media_type=all&search_type=page&view_all_page_id=100614548311975,1262136132755418,False
14,Paulo Aguiar,136584846214992,63,False,29/04/2026,117,46991,False,https://www.facebook.com/pauloaguiarx/,https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=BR&is_targeted_country=false&media_type=all&search_type=page&view_all_page_id=136584846214992,1346499347307581,True
15,Paulo Mauro,367037483920740,62,False,27/01/2026,209,1667,False,https://www.facebook.com/construtorapaulomauro/,https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=BR&is_targeted_country=false&media_type=all&search_type=page&view_all_page_id=367037483920740,1292428526408392,False
16,Holy Bible Path Audio&Verse,1114217018449856,58,False,21/07/2026,34,291,False,https://www.facebook.com/61590802767632/,https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=BR&is_targeted_country=false&media_type=all&search_type=page&view_all_page_id=1114217018449856,1345700074404219,False
17,Sagrado Refúgio,670115846194614,57,False,01/06/2026,84,2643,False,https://www.facebook.com/61579594796216/,https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=BR&is_targeted_country=false&media_type=all&search_type=page&view_all_page_id=670115846194614,1332729628283026,False
18,Angela Sirino,542856065566581,55,False,11/08/2025,378,83477,False,https://www.facebook.com/61569920781755/,https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=BR&is_targeted_country=false&media_type=all&search_type=page&view_all_page_id=542856065566581,1387358389511919,False
19,A Igreja de Jesus Cristo em Pernambuco,109001390930336,53,False,11/04/2026,135,34279,False,https://www.facebook.com/AIgrejadeJesusCristoemPernambuco/,https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=BR&is_targeted_country=false&media_type=all&search_type=page&view_all_page_id=109001390930336,1471580151656463,False
20,Melolo: Séries Curtas Brasil,1029115443615296,50,False,22/06/2026,63,732,False,https://www.facebook.com/61588587216026/,https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=BR&is_targeted_country=false&media_type=all&search_type=page&view_all_page_id=1029115443615296,2014167715860631,False
21,Dom Salvo Nogueira,1052630581269502,48,False,04/07/2026,51,1268,False,https://www.facebook.com/61570683028540/,https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=BR&is_targeted_country=false&media_type=all&search_type=page&view_all_page_id=1052630581269502,1727022605186637,False
22,Projeto Caveira,269840880028470,48,False,22/09/2025,336,46400,False,https://www.facebook.com/projetocaveiraprf/,https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=BR&is_targeted_country=false&media_type=all&search_type=page&view_all_page_id=269840880028470,24326212570414163,False
