Rank,Page Name,Page ID,Active Ads Found,Count Capped,Oldest Active Ad,Days Running,Page Likes,Verified,Facebook URL,Library URL,Sample Ad ID,From Cache
1,Bible Offline,111086928088825,100,True,03/01/2026,232,672629,False,https://www.facebook.com/100078190920246/,https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=BR&is_targeted_country=false&media_type=all&search_type=page&view_all_page_id=111086928088825,692568590458393,False
2,Fer Reconcilia,434243379771821,100,True,14/02/2026,190,10239,False,https://www.facebook.com/61566413454016/,https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=BR&is_targeted_country=false&media_type=all&search_type=page&view_all_page_id=434243379771821,2013433676047702,False
3,Santo Santo Santo,225982534504727,65,False,09/05/2025,471,18665,False,https://www.facebook.com/santosantosanto.oficial/,https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=BR&is_targeted_country=false&media_type=all&search_type=page&view_all_page_id=225982534504727,3919813278162096,False
4,Pe J. Mendes,1017062418166355,57,False,28/07/2026,26,4737,False,https://www.facebook.com/61570703939059/,https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=BR&is_targeted_country=false&media_type=all&search_type=page&view_all_page_id=1017062418166355,1758925075134836,False
5,Sagrado Refúgio,670115846194614,57,False,01/06/2026,83,2591,False,https://www.facebook.com/61579594796216/,https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=BR&is_targeted_country=false&media_type=all&search_type=page&view_all_page_id=670115846194614,1332729628283026,False
6,Bible for Women,101203291964900,56,False,29/07/2026,25,372,False,https://www.facebook.com/100063967606054/,https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=BR&is_targeted_country=false&media_type=all&search_type=page&view_all_page_id=101203291964900,1708195296957652,False
7,Dom Salvo Nogueira,1052630581269502,50,False,04/07/2026,50,1243,False,https://www.facebook.com/61570683028540/,https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=BR&is_targeted_country=false&media_type=all&search_type=page&view_all_page_id=1052630581269502,1727022605186637,False
8,Padre Antonio Maria,1096808423509416,50,False,14/05/2026,101,1049,False,https://www.facebook.com/61572034417283/,https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=BR&is_targeted_country=false&media_type=all&search_type=page&view_all_page_id=1096808423509416,1652625719182378,False
9,João Stecca,580073635340288,43,False,16/04/2026,129,19040,False,https://www.facebook.com/TerraSantaFestival/,https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=BR&is_targeted_country=false&media_type=all&search_type=page&view_all_page_id=580073635340288,1285567507002929,False
10,Bible Verse Daily Pray,978421658697346,41,False,17/06/2026,67,592,False,https://www.facebook.com/61573362396484/,https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=BR&is_targeted_country=false&media_type=all&search_type=page&view_all_page_id=978421658697346,1451509266741600,False
11,Bibleforwomen,598842476648436,22,False,26/06/2026,58,3137,False,https://www.facebook.com/61573950915707/,https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=BR&is_targeted_country=false&media_type=all&search_type=page&view_all_page_id=598842476648436,2620354425067176,False
12,Missionário Soares,171970696186513,21,False,23/02/2026,181,3022273,False,https://www.facebook.com/missionariorrsoares/,https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=BR&is_targeted_country=false&media_type=all&search_type=page&view_all_page_id=171970696186513,2036230951098509,False
13,Tiago Brunet,402380316575423,19,False,27/06/2026,57,2122691,False,https://www.facebook.com/tiago.brunet/,https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=BR&is_targeted_country=false&media_type=all&search_type=page&view_all_page_id=402380316575423,1003047812711633,False
14,Token Artigos e Colecionáveis,106316281882527,18,False,18/06/2024,796,7360,False,https://www.facebook.com/colecionetoken/,https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=BR&is_targeted_country=false&media_type=all&search_type=page&view_all_page_id=106316281882527,740661798304836,False
