Rank,Page Name,Page ID,Active Ads Found,Count Capped,Oldest Active Ad,Days Running,Page Likes,Verified,Facebook URL,Library URL,Sample Ad ID,From Cache
1,Dedicação Delta,210383352904859,100,True,30/11/2023,998,10528,False,https://www.facebook.com/dedicacaodelta/,https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=BR&is_targeted_country=false&media_type=all&search_type=page&view_all_page_id=210383352904859,708249868298953,False
2,Gocase Brasil,303932929804838,100,True,23/06/2025,427,2401363,False,https://www.facebook.com/gocasebr/,https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=BR&is_targeted_country=false&media_type=all&search_type=page&view_all_page_id=303932929804838,2476822209458055,False
3,Dove,228229833969772,100,True,21/05/2026,95,26681881,False,https://www.facebook.com/DoveBr/,https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=BR&is_targeted_country=false&media_type=all&search_type=page&view_all_page_id=228229833969772,1603180098476833,False
4,Brasil Paralelo,301774903545521,100,True,23/12/2025,244,1469997,False,https://www.facebook.com/brasilparalelo/,https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=BR&is_targeted_country=false&media_type=all&search_type=page&view_all_page_id=301774903545521,1010414311823946,False
5,Gocase Acessórios,106301691438008,100,True,20/02/2026,185,15766,False,https://www.facebook.com/100064060512376/,https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=BR&is_targeted_country=false&media_type=all&search_type=page&view_all_page_id=106301691438008,947980464226150,False
6,Clube Fundamento,644556875398441,100,True,18/03/2026,159,8931,False,https://www.facebook.com/61573908008200/,https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=BR&is_targeted_country=false&media_type=all&search_type=page&view_all_page_id=644556875398441,4295907704005104,False
7,Teller Audiobook BP,765861259948852,100,True,08/04/2026,138,561,False,https://www.facebook.com/61581081864386/,https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=BR&is_targeted_country=false&media_type=all&search_type=page&view_all_page_id=765861259948852,2456030068561781,False
8,Bolavip,140212896009715,100,True,05/08/2025,384,1998274,False,https://www.facebook.com/bolavipcom/,https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=BR&is_targeted_country=false&media_type=all&search_type=page&view_all_page_id=140212896009715,880117981103308,False
9,Inner Circle,346764542122299,100,True,09/06/2026,76,160962,False,https://www.facebook.com/innercircledating/,https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=BR&is_targeted_country=false&media_type=all&search_type=page&view_all_page_id=346764542122299,1479802177286813,False
10,Minha Biblioteca Católica,1372016056258270,97,False,02/06/2026,83,191440,False,https://www.facebook.com/minhabibliotecacatolica/,https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=BR&is_targeted_country=false&media_type=all&search_type=page&view_all_page_id=1372016056258270,1699713364603324,False
11,Haroldo Dutra Dias,1386365281425926,90,False,22/05/2026,94,342569,False,https://www.facebook.com/haroldoddias/,https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=BR&is_targeted_country=false&media_type=all&search_type=page&view_all_page_id=1386365281425926,1647666446352397,False
12,EduParmeggiani,1842388882668157,89,False,20/02/2026,185,86067,False,https://www.facebook.com/eduparmeggiani/,https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=BR&is_targeted_country=false&media_type=all&search_type=page&view_all_page_id=1842388882668157,1595891328822833,False
13,Perio Diária,1950766445014867,77,False,29/07/2025,391,16023,False,https://www.facebook.com/MDSDCristinaMiura/,https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=BR&is_targeted_country=false&media_type=all&search_type=page&view_all_page_id=1950766445014867,724565827222162,False
14,Casas Bahia,127587077302295,75,False,03/03/2026,174,5389515,False,https://www.facebook.com/CasasBahia/,https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=BR&is_targeted_country=false&media_type=all&search_type=page&view_all_page_id=127587077302295,1014582471395796,False
15,Rodrigo Silva Arqueologia,1760350307545570,72,False,15/07/2024,770,770525,False,https://www.facebook.com/rodrigosilvarqueologia/,https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=BR&is_targeted_country=false&media_type=all&search_type=page&view_all_page_id=1760350307545570,3732259920371986,False
