Rank,Page Name,Page ID,Active Ads Found,Count Capped,Oldest Active Ad,Days Running,Page Likes,Verified,Facebook URL,Library URL,Sample Ad ID,From Cache
1,Renan Botelho Dr,378128628724966,100,True,08/09/2024,715,445768,False,https://www.facebook.com/61565099531612/,https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=BR&is_targeted_country=false&media_type=all&search_type=page&view_all_page_id=378128628724966,391175950523573,True
2,Manual,112359317088625,100,True,26/06/2026,59,24023,False,https://www.facebook.com/manual.com.br/,https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=BR&is_targeted_country=false&media_type=all&search_type=page&view_all_page_id=112359317088625,1647799972966432,True
3,InfinitePay,222086361593149,100,True,27/01/2025,574,188986,False,https://www.facebook.com/infinitepay/,https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=BR&is_targeted_country=false&media_type=all&search_type=page&view_all_page_id=222086361593149,1519049775860320,True
4,Petlove,365193906877141,100,True,26/03/2026,151,1139366,False,https://www.facebook.com/PetloveBR/,https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=BR&is_targeted_country=false&media_type=all&search_type=page&view_all_page_id=365193906877141,2091970905073252,True
5,Mercado Livre,133452713505,100,True,02/01/2026,234,60554,False,https://www.facebook.com/61562211935459/,https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=BR&is_targeted_country=false&media_type=all&search_type=page&view_all_page_id=133452713505,2601935823556375,True
6,BTG Pactual Empresas,101853428249191,100,True,09/07/2024,776,7694,False,https://www.facebook.com/btgpactualempresas/,https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=BR&is_targeted_country=false&media_type=all&search_type=page&view_all_page_id=101853428249191,1282747067216718,True
7,Anhanguera Educacional,263926226978823,100,True,15/09/2025,343,739499,False,https://www.facebook.com/AnhangueraEdu/,https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=BR&is_targeted_country=false&media_type=all&search_type=page&view_all_page_id=263926226978823,1054476390641847,True
8,LIQUIDZ,111946821902667,100,True,21/07/2025,399,5852,False,https://www.facebook.com/liquidz.br/,https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=BR&is_targeted_country=false&media_type=all&search_type=page&view_all_page_id=111946821902667,772571239165995,True
9,Elanco Pets Brasil,120207948042456,100,True,01/01/2026,235,346179,False,https://www.facebook.com/ElancoPetsbr/,https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=BR&is_targeted_country=false&media_type=all&search_type=page&view_all_page_id=120207948042456,2458360524600755,True
10,transtornodoespectroautista,108182313940838,100,True,01/08/2023,1119,40501,False,https://www.facebook.com/descobrindooautismo/,https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=BR&is_targeted_country=false&media_type=all&search_type=page&view_all_page_id=108182313940838,1361348505317975,True
