Rank,Page Name,Page ID,Active Ads Found,Count Capped,Oldest Active Ad,Days Running,Page Likes,Verified,Facebook URL,Library URL,Sample Ad ID,From Cache
1,Fe Alves,105784057830847,100,True,23/03/2026,153,901928,False,https://www.facebook.com/Fealvessn/,https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=BR&is_targeted_country=false&media_type=all&search_type=page&view_all_page_id=105784057830847,957716563481932,False
2,Mercado Livre Moda,104888358623457,100,True,07/04/2026,138,43642,False,https://www.facebook.com/61578137273880/,https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=BR&is_targeted_country=false&media_type=all&search_type=page&view_all_page_id=104888358623457,1704760450571346,False
3,Mercado Livre,133452713505,100,True,02/01/2026,233,98498,False,https://www.facebook.com/61575142137648/,https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=BR&is_targeted_country=false&media_type=all&search_type=page&view_all_page_id=133452713505,2601935823556375,False
4,Little red book,292136483990216,100,True,20/05/2026,95,851,False,https://www.facebook.com/61559115944691/,https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=BR&is_targeted_country=false&media_type=all&search_type=page&view_all_page_id=292136483990216,990530393932102,False
5,Sem Costura,100301641637057,100,True,27/03/2026,149,33812,False,https://www.facebook.com/usesemcostura/,https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=BR&is_targeted_country=false&media_type=all&search_type=page&view_all_page_id=100301641637057,952676170495343,False
6,Zarp Localiza,102451258297729,100,True,09/07/2026,45,79595,False,https://www.facebook.com/zarplocaliza.br/,https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=BR&is_targeted_country=false&media_type=all&search_type=page&view_all_page_id=102451258297729,4344612839126605,False
7,Meu.ollie,101255382057646,100,True,05/05/2026,110,139593,False,https://www.facebook.com/100065592365486/,https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=BR&is_targeted_country=false&media_type=all&search_type=page&view_all_page_id=101255382057646,2239839406851172,False
8,Eudora,197483166933511,100,True,02/02/2026,202,5817315,False,https://www.facebook.com/eudora/,https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=BR&is_targeted_country=false&media_type=all&search_type=page&view_all_page_id=197483166933511,1328635522007384,False
9,UseAlpha,1914445412140654,100,True,06/10/2025,321,0,False,https://www.instagram.com/_u/juffelicio,https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=BR&is_targeted_country=false&media_type=all&search_type=page&view_all_page_id=1914445412140654,875394064960102,False
10,Dola: assist. inteligente (IA),145595611976121,100,True,05/07/2026,49,2950,False,https://www.facebook.com/61553070084984/,https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=BR&is_targeted_country=false&media_type=all&search_type=page&view_all_page_id=145595611976121,1309839817861856,False
